datetime,open,high,low,close,volume
2024-10-31 15:45:00,227.06000,227.78000,225.39000,225.39000,5457376
2024-10-31 15:30:00,227.33000,227.40500,226.75000,227.05000,1610627
2024-10-31 15:15:00,227.21001,227.78000,227.16000,227.33000,1603865
2024-10-31 15:00:00,227.08000,227.39000,226.97501,227.21001,1351831
2024-10-31 14:45:00,227.08501,227.22000,226.75000,227.07500,1024296
2024-10-31 14:30:00,227.09500,227.20000,226.69501,227.08501,1081201
2024-10-31 14:15:00,227.06000,227.19501,227.00031,227.09000,893371
2024-10-31 14:00:00,226.89999,227.25000,226.82500,227.05499,855290
2024-10-31 13:45:00,227.44000,227.44000,226.88000,226.90500,959237
2024-10-31 13:30:00,227.86000,227.96629,227.41000,227.44501,1089347
2024-10-31 13:15:00,227.59000,228.17680,227.45010,227.86011,972258
2024-10-31 13:00:00,227.73500,227.92000,227.58000,227.59500,757577
2024-10-31 12:45:00,227.59000,227.99001,227.56000,227.73000,912975
2024-10-31 12:30:00,227.28000,227.63000,227.20020,227.60001,810413
2024-10-31 12:15:00,227.21001,227.25000,226.95000,227.25000,826643
2024-10-31 12:00:00,227.03000,227.48500,226.89000,227.21530,953369
2024-10-31 11:45:00,227.12000,227.17000,226.41000,227.05499,1070399
2024-10-31 11:30:00,227.31000,227.39500,226.91290,227.15041,904887
2024-10-31 11:15:00,227.03000,227.63000,226.97000,227.31500,1121818
2024-10-31 11:00:00,227.68500,227.75999,226.88000,227.05000,1951523
2024-10-31 10:45:00,228.22000,228.27000,227.42000,227.71001,1450959
2024-10-31 10:30:00,228.45000,228.73000,228.14999,228.22000,1065542
2024-10-31 10:15:00,227.99001,228.94000,227.89500,228.44501,1291353
2024-10-31 10:00:00,229.19000,229.25000,227.81000,227.98000,1593897
2024-10-31 09:45:00,229.16499,229.33990,228.60000,229.20821,1838226
2024-10-31 09:30:00,229.23000,229.83000,228.19940,229.19000,4442957
2024-10-30 15:45:00,230.57001,230.84000,229.56000,230.14000,4946205
2024-10-30 15:30:00,230.73000,230.79500,230.46001,230.55870,1905099
2024-10-30 15:15:00,230.67500,230.94000,230.42999,230.73000,796677
2024-10-30 15:00:00,230.50000,230.76530,230.17000,230.67999,971761
2024-10-30 14:45:00,230.66000,230.82990,230.42999,230.50500,599353
2024-10-30 14:30:00,230.62010,230.89000,230.58000,230.66580,595709
2024-10-30 14:15:00,230.87500,230.91000,230.50000,230.64999,850069
2024-10-30 14:00:00,230.21500,231.00000,230.21111,230.87840,785395
2024-10-30 13:45:00,230.13000,230.44000,230.06000,230.21880,741465
2024-10-30 13:30:00,230.24500,230.30000,229.87041,230.14000,1190428
2024-10-30 13:15:00,230.74001,230.78999,230.23000,230.24110,859629
2024-10-30 13:00:00,230.91830,231.05000,230.67999,230.75000,561600
2024-10-30 12:45:00,231.27000,231.38000,230.92000,230.92000,693687
2024-10-30 12:30:00,231.20000,231.39000,231.06000,231.27000,543245
2024-10-30 12:15:00,231.27000,231.27000,231.06000,231.19991,670519
2024-10-30 12:00:00,231.38499,231.54990,231.24001,231.24820,635289
2024-10-30 11:45:00,231.38000,231.53999,231.11000,231.38989,794442
2024-10-30 11:30:00,231.56000,231.66499,231.09000,231.39500,1139030
2024-10-30 11:15:00,230.65500,231.60001,230.50500,231.55499,1473054
2024-10-30 11:00:00,231.16000,231.32001,230.64000,230.65010,1411105
2024-10-30 10:45:00,231.68500,231.78999,231.14000,231.15601,1447150
2024-10-30 10:30:00,231.86690,231.95000,231.47501,231.69000,1123651
2024-10-30 10:15:00,232.22000,232.30991,231.69000,231.86000,1280962
2024-10-30 10:00:00,232.59900,232.78200,232.05000,232.19000,1277470
2024-10-30 09:45:00,232.08000,232.67999,232.00000,232.59000,1487849
2024-10-30 09:30:00,232.62000,233.22990,231.85001,232.12000,4426060
2024-10-29 15:45:00,234.24500,234.32001,233.53999,233.75000,2674499
2024-10-29 15:30:00,234.20500,234.26500,234.02000,234.25000,786015
2024-10-29 15:15:00,234.02000,234.21989,234.00000,234.20000,794701
2024-10-29 15:00:00,234.09500,234.14500,233.88000,234.03000,607475
2024-10-29 14:45:00,234.03000,234.09990,233.91010,234.09000,1779157
2024-10-29 14:30:00,233.98500,234.19000,233.91000,234.02000,457557
2024-10-29 14:15:00,233.97000,234.11000,233.84500,233.97000,521726
2024-10-29 14:00:00,233.81000,234.05499,233.75999,233.97000,486729
2024-10-29 13:45:00,233.97501,233.99460,233.78000,233.82001,335253
2024-10-29 13:30:00,233.92000,234.14000,233.86501,233.97000,352903
2024-10-29 13:15:00,234.02499,234.19000,233.87000,233.89000,440378
2024-10-29 13:00:00,233.95000,234.21001,233.89999,234.02119,669783
2024-10-29 12:45:00,233.50999,233.98000,233.45950,233.95010,676121
2024-10-29 12:30:00,233.10500,233.53000,233.02000,233.50000,837644
2024-10-29 12:15:00,233.39999,233.54990,233.10001,233.10001,434673
2024-10-29 12:00:00,233.35001,233.59000,233.17000,233.39000,639491
2024-10-29 11:45:00,233.09000,233.47000,233.02010,233.34000,631694
2024-10-29 11:30:00,233.25999,233.44000,233.07001,233.09000,547451
2024-10-29 11:15:00,233.44000,233.63000,233.15500,233.27000,588602
2024-10-29 11:00:00,233.50500,233.55499,233.06000,233.44501,772911
2024-10-29 10:45:00,233.23500,233.69000,233.13010,233.49001,842280
2024-10-29 10:30:00,233.05000,233.41000,233.03999,233.24001,803281
2024-10-29 10:15:00,233.36000,234.05499,233.03000,233.06000,1362269
2024-10-29 10:00:00,233.60001,233.81441,233.10001,233.37000,1070148
2024-10-29 09:45:00,233.77499,233.95000,232.60001,233.60500,1368981
2024-10-29 09:30:00,233.19501,233.88000,232.32001,233.76559,2866663
2024-10-28 15:45:00,233.67999,233.78000,233.11000,233.49001,3189842
